Planet: {x: 703.2291046309314, y: 392.06130840454233, z: 814.9882559583394}, Habitable: false, Surface Area: 0
Planet: {x: 5.599954605120638, y: 316.6455359702165, z: 549.8226716305559}, Habitable: true, Surface Area: 56292671
Planet: {x: 807.301645417088, y: 9.155244389138062, z: 824.074997585511}, Habitable: true, Surface Area: 48898318
Planet: {x: 164.4660205274826, y: 744.0403217687392, z: 479.7131934559289}, Habitable: false, Surface Area: 0
Planet: {x: 281.91123761505435, y: 61.47420644681767, z: 42.24780820266627}, Habitable: true, Surface Area: 54398434
Planet: {x: 251.1169671634066, y: 483.22477384453657, z: 841.7526392743879}, Habitable: false, Surface Area: 0
Planet: {x: 482.7252929604764, y: 64.61673623432462, z: 205.33375420506593}, Habitable: false, Surface Area: 0
Planet: {x: 462.47262994466973, y: 536.943143882237, z: 169.26703800875597}, Habitable: true, Surface Area: 22788880
Planet: {x: 612.7931364561272, y: 720.5306931411521, z: 151.17156605911663}, Habitable: true, Surface Area: 32899050
Planet: {x: 878.9987868934477, y: 127.43074330232962, z: 102.3813316943809}, Habitable: false, Surface Area: 0
Planet: {x: 460.4823840389285, y: 814.6427644892991, z: 494.2877124552805}, Habitable: true, Surface Area: 31632888
Planet: {x: 548.6122652843939, y: 616.5989750754353, z: 555.1753787863554}, Habitable: true, Surface Area: 12074713
Planet: {x: 736.3503057686042, y: 602.1204264953395, z: 386.6592963930604}, Habitable: false, Surface Area: 0
Planet: {x: 380.0315421032472, y: 857.0611230754087, z: 197.2588935718056}, Habitable: false, Surface Area: 0
Planet: {x: 445.5184821550866, y: 455.39633846209983, z: 808.2655409595793}, Habitable: false, Surface Area: 0
Planet: {x: 905.4579662558086, y: 287.663071708377, z: 735.1143445566606}, Habitable: false, Surface Area: 0
Planet: {x: 347.570611875097, y: 24.681344955591378, z: 644.0684768793108}, Habitable: false, Surface Area: 0
Planet: {x: 451.34828132476844, y: 17.633123503411507, z: 72.76253665758081}, Habitable: false, Surface Area: 0
Planet: {x: 649.4792707493198, y: 144.97456121315565, z: 442.10469092069894}, Habitable: false, Surface Area: 0
Planet: {x: 176.19104174429134, y: 946.9264346062456, z: 338.94890999029957}, Habitable: true, Surface Area: 45620914
Planet: {x: 561.6676161863832, y: 305.67356335034776, z: 999.6555142004206}, Habitable: false, Surface Area: 0
Planet: {x: 422.4414260121034, y: 380.57758147892605, z: 980.4066380956731}, Habitable: true, Surface Area: 85480859
Planet: {x: 896.4085043891765, y: 811.6003590912549, z: 291.16992661877947}, Habitable: false, Surface Area: 0
Planet: {x: 577.4730824900358, y: 713.0365774166256, z: 222.52620648167954}, Habitable: false, Surface Area: 0
Planet: {x: 575.160436575545, y: 892.4471479841383, z: 474.73896237097745}, Habitable: false, Surface Area: 0
Planet: {x: 17.7536747400433, y: 789.0457518122229, z: 402.7616579230928}, Habitable: false, Surface Area: 0
